question_text,category_name,difficulty_level,correct_answer
The Great Wall of China is visible from the moon.,General Knowledge,easy,FALSE
Jingle Bells was originally meant for Thanksgiving,General Knowledge,easy,TRUE
Nutella is produced by the German company Ferrero.,General Knowledge,easy,FALSE
"The bikini is named after the ""Bikini Atoll"", an island where the United States conducted tests on atomic bombs.",General Knowledge,medium,TRUE
French is an official language in Canada.,General Knowledge,easy,TRUE
"This is the correct spelling of ""Supercalifragilisticexpialidocious"".",General Knowledge,hard,TRUE
The mitochondria is the powerhouse of the cell.,General Knowledge,easy,TRUE
The Lego Group was founded in 1932.,General Knowledge,easy,TRUE
"""Typewriter"" is the longest word that can be typed using only the first row on a QWERTY keyboard.",General Knowledge,medium,TRUE
"The term ""Spam"" came before the food product ""Spam"".",General Knowledge,medium,FALSE
Video streaming website YouTube was purchased in it's entirety by Facebook for US$1.65 billion in stock.,General Knowledge,easy,FALSE
Popcorn was invented in 1871 by Frederick W. Rueckheim in the USA where he sold the snack on the streets of Chicago.,General Knowledge,medium,FALSE
"Stagecoach owned ""South West Trains"" before losing the rights to FirstGroup and MTR in March of 2017.",General Knowledge,hard,TRUE
Kissing someone for one minute burns about 2 calories.,General Knowledge,medium,TRUE
"""Santa Claus"" is a variety of melon.",General Knowledge,medium,TRUE
You can legally drink alcohol while driving in Mississippi.,General Knowledge,easy,TRUE
The scientific name for the Southern Lights is Aurora Australis?,General Knowledge,medium,TRUE
"""Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo."" is a grammatically correct sentence.",General Knowledge,medium,TRUE
Fast food restaurant chains Carl's Jr. and Hardee's are owned by the same company.,General Knowledge,medium,TRUE
"""Ananas"" is mostly used as the word for Pineapple in other languages.",General Knowledge,easy,TRUE
The vapor produced by e-cigarettes is actually water.,General Knowledge,medium,FALSE
Dihydrogen Monoxide was banned due to health risks after being discovered in 1983 inside swimming pools and drinking water.,General Knowledge,easy,FALSE
It is automatically considered entrapment in the United States if the police sell you illegal substances without revealing themselves.,General Knowledge,easy,FALSE
"""Number 16 Bus Shelter"" was a child's name that was approved by the New Zealand government.",General Knowledge,hard,TRUE
The color orange is named after the fruit.,General Knowledge,easy,TRUE
A scientific study on peanuts in bars found traces of over 100 unique specimens of urine.,General Knowledge,easy,FALSE
"The word ""news"" originates from the first letters of the 4 main directions on a compass (North, East, West, South).",General Knowledge,medium,FALSE
Sitting for more than three hours a day can cut two years off a person's life expectancy.,General Knowledge,medium,TRUE
"When you cry in space, your tears stick to your face.",General Knowledge,easy,TRUE
The British organisation CAMRA stands for The Campaign for Real Ale.,General Knowledge,medium,TRUE
Cucumbers are usually more than 90% water.,General Knowledge,medium,TRUE
The average woman is 5 inches / 13 centimeters shorter than the average man.,General Knowledge,medium,TRUE
There are 86400 seconds in a day.,General Knowledge,medium,TRUE
Haggis is traditionally ate on Burns Night.,General Knowledge,medium,TRUE
"Romanian belongs to the Romance language family, shared with French, Spanish, Portuguese and Italian. ",General Knowledge,easy,TRUE
"The French word for ""glass"" is ""glace"".",General Knowledge,medium,FALSE
Francis Bacon died from a fatal case of pneumonia while he was attempting to preserve meat by stuffing a chicken with snow.,General Knowledge,medium,TRUE
The Sun rises from the North.,General Knowledge,easy,FALSE
"In 2010, Twitter and the United States Library of Congress partnered together to archive every tweet by American citizens.",General Knowledge,easy,TRUE
"NCIS stands for ""Navy Corps Investigative Service""",General Knowledge,hard,FALSE
"""27 Club"" is a term used to refer to a list of famous actors, musicians, and artists who died at the age of 27.",General Knowledge,easy,TRUE
Bulls are attracted to the color red.,General Knowledge,easy,FALSE
Instant mashed potatoes were invented by Canadian Edward Asselbergs in 1962.,General Knowledge,medium,TRUE
The pickled gherkin was first added to hamburgers because a US health law required all fast-food to include a source of Vitamin C.,General Knowledge,medium,FALSE
The National Animal of Scotland is the Unicorn.,General Knowledge,easy,TRUE
"The French word to travel is ""Travail""",General Knowledge,medium,FALSE
"In Harry Potter and the Deathly Hallows, Hermione destroyed the fourth Horcrux by stabbing it with the Sword of Gryffindor.",Entertainment: Books,hard,FALSE
"Harry Potter was born on July 31st, 1980.",Entertainment: Books,hard,TRUE
"The ""Berenstein Bears"" is the correct spelling of the educational children's book series' name.",Entertainment: Books,easy,FALSE
"""Green Eggs and Ham"" consists of only 50 different words.",Entertainment: Books,easy,TRUE
Stephen Chbosky wrote the book 'The Perks of Being A Wallflower'.,Entertainment: Books,easy,TRUE
"""Elementary, my dear Watson"" is a phrase that is never truly said within the Conan Doyle books of Sherlock Holmes.",Entertainment: Books,easy,TRUE
"Shub-Niggurath is a creature that was created by 	J. R. R. Tolkien in his novel ""The Lord of The Rings"".",Entertainment: Books,easy,FALSE
The book 1984 was published in 1949.,Entertainment: Books,easy,TRUE
"The Harry Potter series of books, combined, are over 1,000,000 words in length.",Entertainment: Books,easy,TRUE
"The movie ""Tron"" received an Oscar nomination for Best Visual Effects.",Entertainment: Film,medium,FALSE
"In the original Star Wars trilogy, Alec Guinness provided the voice for Darth Vader.",Entertainment: Film,easy,FALSE
"Samuel L. Jackson had the words, 'Bad Motherf*cker' in-scripted on his lightsaber during the filming of Star Wars.",Entertainment: Film,easy,TRUE
"Brandon Routh plays the titular character in the movie ""John Wick"".",Entertainment: Film,easy,FALSE
"The weapon Clint Eastwood uses in ""Dirty Harry"" was a .44 Automag.",Entertainment: Film,hard,FALSE
Ewan McGregor did not know the name of the second prequel film of Star Wars during and after filming.,Entertainment: Film,easy,TRUE
"Leonardo DiCaprio won an Oscar for Best Actor in 2004's ""The Aviator"".",Entertainment: Film,easy,FALSE
"The 2010 film ""The Social Network"" is a biographical drama film about MySpace founder Tom Anderson.",Entertainment: Film,easy,FALSE
"In the original script of ""The Matrix"", the machines used humans as additional computing power instead of batteries.",Entertainment: Film,easy,TRUE
"""Cube"", ""Cube 2: Hypercube"" and ""Cube Zero"" were directed by the same person.",Entertainment: Film,hard,FALSE
The color of the pills in the Matrix were Blue and Yellow.,Entertainment: Film,medium,FALSE
Actor Tommy Chong served prison time.,Entertainment: Film,easy,TRUE
"""Minions"" was released on the June 10th, 2015.",Entertainment: Film,easy,FALSE
Matt Damon played an astronaut stranded on an extraterrestrial planet in both of the movies Interstellar and The Martian.,Entertainment: Film,easy,TRUE
"In the original Star Wars trilogy, David Prowse was the actor who physically portrayed Darth Vader.",Entertainment: Film,easy,TRUE
In Alfred Hitchcock's film 'Psycho' it is said he used chocolate syrup to simulate the blood in the famous shower scene from ,Entertainment: Film,easy,TRUE
"The Xenomorph from the science fiction film ""Alien"" has acidic blood.",Entertainment: Film,medium,TRUE
"There aren't any live-action clones in ""Star Wars: Episode III - Revenge of the Sith"".",Entertainment: Film,medium,TRUE
"In the movie The Revenant, DiCaprio's character hunts down the killer of his son.",Entertainment: Film,easy,TRUE
"The movie ""The Nightmare before Christmas"" was all done with physical objects.",Entertainment: Film,easy,TRUE
"The song ""Mystery Train"" was released by artist ""Little Junior's Blue Flames"" in 1953.",Entertainment: Music,hard,TRUE
"In 1993, Prince changed his name to an unpronounceable symbol because he was unhappy with his contract with Warner Bros.",Entertainment: Music,easy,TRUE
American rapper Dr. Dre actually has a Ph.D. doctorate.,Entertainment: Music,easy,FALSE
"3 members of 2 Live Crew were arrested for playing songs from their album, As Nasty As They Wanna Be, live.",Entertainment: Music,medium,TRUE
EDM label Monstercat signs tracks instead of artists.,Entertainment: Music,medium,TRUE
"Pete Townshend's solo album, ""White City: A Novel"", is set in the metropolitan area of Chicago.",Entertainment: Music,hard,FALSE
"The alternative rock band, They Might Be Giants, released their album 'Flood' in 1990. ",Entertainment: Music,easy,TRUE
Scatman John's real name was John Paul Larkin.,Entertainment: Music,easy,TRUE
Eurobeat is primarily an Italian genre of music.,Entertainment: Music,easy,TRUE
Ashley Frangipane performs under the stage name Halsey.,Entertainment: Music,medium,TRUE
"""The Division Bell"" is the final album of the progressive rock band Pink Floyd.",Entertainment: Music,medium,FALSE
Stevie Wonder's real name is Stevland Hardaway Morris.,Entertainment: Music,easy,TRUE
Arcade Fire's 'The Suburbs' won the Album of the Year award in the 2011 Grammys.,Entertainment: Music,medium,TRUE
The band STRFKR was also briefly known as Pyramiddd.,Entertainment: Music,hard,TRUE
A Saxophone is a brass instrument.,Entertainment: Music,easy,FALSE
Nick Mason is the only member to appear on every Pink Floyd album.,Entertainment: Music,medium,TRUE
Muse is a British (English) rock band,Entertainment: Music,easy,TRUE
Metallica collaborated with Rowan Atkinson's Mr Bean on a 1992 comic relief single.,Entertainment: Music,medium,FALSE
Soulja Boy's 'Crank That' won a Grammy for Best Rap Song in 2007.,Entertainment: Music,medium,FALSE
Lead Singer Rivers Cuomo of American rock band Weezer attended Harvard.,Entertainment: Music,easy,TRUE
"Dave Grohl recorded the Foo Fighters' debut, ""Foo Fighters,"" by himself.",Entertainment: Music,medium,TRUE
"The singer Billie Holiday was also known as ""Lady Day"".",Entertainment: Music,hard,TRUE
"""Neutral Milk Hotel"" is a real band.",Entertainment: Music,medium,TRUE
"The cover of The Beatles album ""Abbey Road"" featured a Volkswagen Beetle in the background.",Entertainment: Music,medium,TRUE
"Scottish producer Calvin Harris is from the town of Dumfries, Scotland.",Entertainment: Music,medium,TRUE
The music group Daft Punk got their name from a negative review they recieved.,Entertainment: Music,easy,TRUE
"The music video to The Buggle's ""Video Killed the Radio Star"" was the first music video to broadcast on MTV.",Entertainment: Music,easy,TRUE
"Pink Guy's debut album was ""Pink Season"".",Entertainment: Music,medium,FALSE
"Green Day's album 'American Idiot' is considered a ""punk rock opera.""",Entertainment: Music,medium,TRUE
"For his performance at ComplexCon 2016 in Long Beach, California, Skrillex revived his ""Mothership"" set piece for one night only.",Entertainment: Music,medium,TRUE
"Big the Cat is a playable character in ""Sonic Generations"".",Entertainment: Video Games,easy,FALSE
Metal Gear Solid V: The Phantom Pain runs on the Fox Engine.,Entertainment: Video Games,medium,TRUE
"In ""Super Mario Bros."", the clouds and bushes have the same artwork and are just different colors.",Entertainment: Video Games,easy,TRUE
Pac-Man was invented by the designer Toru Iwatani while he was eating pizza.,Entertainment: Video Games,easy,TRUE
"In Rocket League, you can play Basketball.",Entertainment: Video Games,medium,TRUE
"In Terraria, you can craft the Cell Phone pre-hardmode.",Entertainment: Video Games,easy,TRUE
Nintendo's Luigi was originally just called Green Mario?,Entertainment: Video Games,easy,FALSE
"The game ""Jetpack Joyride"" was created by ""Redbrick Studios"".",Entertainment: Video Games,easy,FALSE
"In Until Dawn, both characters Sam and Mike cannot be killed under any means until the final chapter of the game.",Entertainment: Video Games,easy,TRUE
Amazon acquired Twitch in August 2014 for $970 million dollars.,Entertainment: Video Games,medium,TRUE
"In ""Minecraft"", gold tools are faster than diamond tools.",Entertainment: Video Games,hard,TRUE
"""Half-Life 2"" runs on the Source Engine.",Entertainment: Video Games,easy,TRUE
"In Monster Hunter Generations, guild style is a type of hunting style.",Entertainment: Video Games,medium,TRUE
"In RuneScape, one must complete the ""Dragon Slayer"" quest before equipping Rune Platelegs.",Entertainment: Video Games,easy,FALSE
"In the game ""Until Dawn"" Emily is the only playable character who can be killed by another playable character directly.",Entertainment: Video Games,medium,TRUE
"The ghosts in ""Pac-Man"" and ""Ms. Pac-Man"" have completely different behavior.",Entertainment: Video Games,easy,TRUE
"In ""League of Legends"", there exists four different types of Dragon.",Entertainment: Video Games,medium,FALSE
"TF2: The Heavy's voice actor, Gary Schwartz, voices the Demoman as well ",Entertainment: Video Games,medium,TRUE
"During pre-production of ""Super Mario Bros."", Mario originally was meant to shoot bullets.",Entertainment: Video Games,medium,TRUE
"The song ""Megalovania"" by Toby Fox made its third appearence in the 2015 RPG ""Undertale"".",Entertainment: Video Games,easy,TRUE
"The ultimate phrase used by Pharah from Overwatch is: ""Justice rains from above!""",Entertainment: Video Games,easy,TRUE
"In Sonic the Hedgehog universe, Tails' real name is Miles Prower.",Entertainment: Video Games,easy,TRUE
"The game ""Pocket Morty"" has a Morty called ""Pocket Mortys Morty""?",Entertainment: Video Games,easy,TRUE
"There are 6 legendary cards in ""Clash Royale"".",Entertainment: Video Games,easy,FALSE
"In ""Super Mario 64"", collecting 100 coins on a level will give you a 1-UP.",Entertainment: Video Games,easy,FALSE
"In ""Super Mario 3D World"", the Double Cherry power-up originated from a developer accidentally making two characters controllable.",Entertainment: Video Games,easy,TRUE
"The names of Tom Nook's cousins in the Animal Crossing franchise are named ""Timmy"" and ""Jimmy"".",Entertainment: Video Games,easy,FALSE
Resident Evil 4 was originally meant to be a Nintendo GameCube exclusive.,Entertainment: Video Games,medium,TRUE
Luigi is taller than Mario?,Entertainment: Video Games,easy,TRUE
"In the video game ""Splatoon"", the playable characters were originally going to be rabbits instead of squids.",Entertainment: Video Games,easy,TRUE
Unturned originally started as a Roblox game.,Entertainment: Video Games,hard,TRUE
"In Resident Evil 4, the Chicago Typewriter has infinite ammo.",Entertainment: Video Games,easy,TRUE
"In ""Overwatch,"" an allied McCree will say ""Step right up"" upon using his ultimate ability Deadeye.",Entertainment: Video Games,medium,TRUE
"In the Monster Hunter Series, it is possible to capture Elder Dragons.",Entertainment: Video Games,easy,FALSE
"In ""Undertale"", the main character of the game is Sans.",Entertainment: Video Games,easy,FALSE
"In ""Call Of Duty: World At War"", the first appearance of the ""PPSH-41"" in ""Zombies"" was in the map ""Der Riese"".",Entertainment: Video Games,hard,FALSE
"The Mann Co. Store from Team Fortress 2 has the slogan ""We hire mercenaries and get in fights"".",Entertainment: Video Games,easy,FALSE
"In Team Fortress 2, being disguised as a scout or medic results in a speed boost.",Entertainment: Video Games,easy,FALSE
"In Undertale, having a ""Fun Value"" set to 56-57 will play the ""Wrong Number Song Call"".",Entertainment: Video Games,hard,FALSE
"All of these maps were in ""Tom Clancy's Rainbow Six Siege"" on its initial release: House, Clubhouse, Border, Consulate.",Entertainment: Video Games,hard,FALSE
Pistons were added to Minecraft in Beta 1.5.,Entertainment: Video Games,medium,FALSE
Solid Snake is actually a clone from the DNA of Big Boss in the Metal Gear Solid series' history.,Entertainment: Video Games,easy,TRUE
The ADAM collecters in the Bioshock series are known as Little Sisters.,Entertainment: Video Games,medium,TRUE
"In the game ""Subnautica"", a ""Cave Crawler"" will attack you.",Entertainment: Video Games,medium,TRUE
"In ""Starbound"", the track played by the Decorated Music Box is named ""Atlas"".",Entertainment: Video Games,medium,TRUE
"In Pok&eacute;mon Sun and Moon, a male Salandit can evolve to a Salazzle.",Entertainment: Video Games,easy,FALSE
"In ""Sonic Adventure"", you are able to transform into Super Sonic at will after completing the main story.",Entertainment: Video Games,easy,FALSE
"The Konami Code is known as Up, Up, Down, Down, Left, Right, Right, Left, B, A, Start.",Entertainment: Video Games,easy,FALSE
"The main character in the ""Half-Life"" franchise is named Morgan Freeman.",Entertainment: Video Games,easy,FALSE
"""Resident Evil 7"" is the first first-person Resident Evil game.",Entertainment: Video Games,easy,FALSE
"""Tachycardia"" or ""Tachyarrhythmia"" refers to a resting heart-rate near or over 100 BPM.",Science: Nature,medium,TRUE
The planet Mars has two moons orbiting it.,Science: Nature,medium,TRUE
Type 1 diabetes is a result of the liver working improperly.,Science: Nature,medium,FALSE
Pneumonoultramicroscopicsilicovolcanoconiosis is a synonym for the disease known as silicosis.,Science: Nature,medium,TRUE
Anatomy considers the forms of macroscopic structures such as organs and organ systems.,Science: Nature,medium,TRUE
"Like with the Neanderthals, Homo sapiens sapiens also interbred with the Denisovans.",Science: Nature,medium,TRUE
Igneous rocks are formed by excessive heat and pressure.,Science: Nature,easy,FALSE
"Water always boils at 100 degrees C, 212 degrees F, 373.15K, no matter where you are.",Science: Nature,easy,FALSE
A person can get sunburned on a cloudy day.,Science: Nature,medium,TRUE
"The ""Gympie Stinger"" is the deadliest plant in the world.",Science: Nature,medium,FALSE
The value of one Calorie is different than the value of one calorie.,Science: Nature,hard,TRUE
"In the periodic table, Potassium's symbol is the letter K.",Science: Nature,medium,TRUE
It was once believed that injecting shark cartilage into people would prevent them from contracting cancer.,Science: Nature,hard,TRUE
"Scientists accidentally killed the once known world's oldest living creature, a mollusc, known to be aged as 507 years old.",Science: Nature,medium,TRUE
A defibrillator is used to start up a heartbeat once a heart has stopped beating.,Science: Nature,medium,FALSE
Steel is an alloy of Iron and Carbon.,Science: Nature,medium,TRUE
An atom contains a nucleus.,Science: Nature,easy,TRUE
The Doppler effect applies to light.,Science: Nature,medium,TRUE
A plant that has a life cycle for more than a year is known as an annual.,Science: Nature,easy,FALSE
An Astronomical Unit is the distance between Earth and the Moon.,Science: Nature,easy,FALSE
All program codes have to be compiled into an executable file in order to be run. This file can then be executed on any machine.,Science: Computers,medium,FALSE
"""HTML"" stands for Hypertext Markup Language.",Science: Computers,easy,TRUE
"FLAC stands for ""Free Lossless Audio Condenser""",Science: Computers,medium,FALSE
Linux was first created as an alternative to Windows XP.,Science: Computers,easy,FALSE
Ada Lovelace is often considered the first computer programmer.,Science: Computers,easy,TRUE
"The common software-programming acronym ""I18N"" comes from the term ""Interlocalization"".",Science: Computers,medium,FALSE
The last Windows operating system to be based on the Windows 9x kernel was Windows 98.,Science: Computers,medium,FALSE
DHCP stands for Dynamic Host Configuration Port.,Science: Computers,hard,FALSE
"The very first recorded computer ""bug"" was a moth found inside a Harvard Mark II computer.",Science: Computers,medium,TRUE
Pointers were not used in the original C programming language; they were added later on in C++.,Science: Computers,easy,FALSE
The Windows ME operating system was released in the year 2000.,Science: Computers,easy,TRUE
RAM stands for Random Access Memory.,Science: Computers,easy,TRUE
"A Boolean value of ""0"" represents which of these words?",Science: Computers,medium,FALSE
It's not possible to format a write-protected DVD-R Hard Disk.,Science: Computers,medium,TRUE
"The Python programming language gets its name from the British comedy group ""Monty Python.""",Science: Computers,easy,TRUE
Linus Torvalds created Linux and Git.,Science: Computers,easy,TRUE
"Linus Sebastian is the creator of the Linux kernel, which went on to be used in Linux, Android, and Chrome OS.",Science: Computers,medium,FALSE
The HTML5 standard was published in 2014.,Science: Computers,medium,TRUE
Time on Computers is measured via the EPOX System.,Science: Computers,easy,FALSE
The Windows 7 operating system has six main editions.,Science: Computers,easy,TRUE
Tokyo is the capital of Japan.,Geography,easy,TRUE
Antarctica is the largest desert in the world.,Geography,medium,TRUE
The Sonoran Desert is located in eastern Africa.,Geography,medium,FALSE
The capital of the US State Ohio is the city of Chillicothe.,Geography,medium,FALSE
Is Tartu the capital of Estonia?,Geography,medium,FALSE
The two largest ethnic groups of Belgium are Flemish and Walloon. ,Geography,hard,TRUE
Greenland is covered with grass and Iceland covered with ice.,Geography,easy,FALSE
Nova Scotia is on the east coast of Canada.,Geography,easy,TRUE
There are no deserts in Europe.,Geography,easy,TRUE
"Rhode Island is actually located on the US mainland, despite its name.",Geography,easy,TRUE
California is larger than Japan.,Geography,easy,TRUE
St. Louis is the capital of the US State Missouri.,Geography,easy,FALSE
The Southeast Asian island of Borneo is politically divided among 3 countries.,Geography,medium,TRUE
New Haven is the capital city of the state of Connecticut in the United States.,Geography,easy,FALSE
"Switzerland has four national languages, English being one of them.",Geography,hard,FALSE
Vatican City is a country.,Geography,easy,TRUE
Gothenburg is the capital of Sweden.,Geography,medium,FALSE
Hungary is the only country in the world beginning with H.,Geography,easy,FALSE
"There exists an island named ""Java"".",Geography,medium,TRUE
Japan has left-hand side traffic.,Geography,medium,TRUE
Alaska is the largest state in the United States.,Geography,easy,TRUE
San Marino is the only country completely surrounded by another country.,Geography,easy,FALSE
"The title of the 1969 film ""Krakatoa, East_of Java"" is incorrect, as Krakatoa is in fact west of Java.",Geography,medium,TRUE
"""Mongolia"" was a part of the now non-existent U.S.S.R.",Geography,medium,FALSE
You could walk from Norway to North Korea while only passing through Russia.,Geography,medium,TRUE
A group of islands is called an 'archipelago'.,Geography,easy,TRUE
Seoul is the capital of North Korea.,Geography,medium,FALSE
Liechtenstein does not have an airport.,Geography,medium,TRUE
Ottawa is the capital of Canada.,Geography,easy,TRUE
"There is an island in Japan called ÅŒkunoshima, A.K.A. ""Rabbit Island"", so named because of it's huge population of rabbits.",Geography,easy,TRUE
"There are no roads in/out of Juneau, Alaska.",Geography,medium,TRUE
The flag of South Africa features 7 colours.,Geography,medium,FALSE
Greenland is almost as big as Africa.,Geography,easy,FALSE
Toronto is the capital city of the North American country of Canada.,Geography,easy,FALSE
"The longest place named in the United States is Lake Chargoggagoggmanchauggagoggchaubunagungamaugg, located near Webster, MA.",Geography,medium,TRUE
Vietnam is the only country in the world that starts with V. ,Geography,medium,FALSE
The Republic of Malta is the smallest microstate worldwide.,Geography,easy,FALSE
The surface area of Russia is slightly larger than that of the dwarf planet Pluto.,Geography,medium,TRUE
Only one country in the world starts with the letter Q.,Geography,hard,TRUE
There is a city called Rome in every continent on Earth.,Geography,easy,FALSE
The fourth funnel of the RMS Titanic was fake designed to make the ship look more powerful and symmetrical.,History,hard,TRUE
"Sargon II, a king of the Neo-Assyrian Empire, was a direct descendant of Sargon of Akkad.",History,medium,FALSE
Former United States Presidents John Adams and Thomas Jefferson died within hours of each other.,History,easy,TRUE
Japan was part of the Allied Powers during World War I.,History,hard,TRUE
"In World War ll, Great Britian used inflatable tanks on the ports of Great Britain to divert Hitler away from Normandy/D-day landing.",History,easy,TRUE
Thomas Crapper was a plumber who invented the flushing toilet.,History,easy,FALSE
Abraham Lincoln was the first U.S. President to be born outside the borders of the thirteen original states. ,History,medium,TRUE
Adolf Hitler was tried at the Nuremberg trials.,History,easy,FALSE
"Sir Issac Newton served as a Member of Parliament, but the only recorded time he spoke was to complain about a draft in the chambers.",History,medium,TRUE
The M41 Walker Bulldog remains in service in some countries to this day.,History,medium,TRUE
The Kingdom of Prussia briefly held land in Estonia.,History,hard,FALSE
"In World War II, Hawker Typhoons served in the Pacific theater.",History,medium,FALSE
The Tiananmen Square protests of 1989 were held in Hong Kong.,History,easy,FALSE
"The Battle of Trafalgar took place on October 23rd, 1805",History,hard,FALSE
Theodore Roosevelt Jr. was the only General involved in the initial assault on D-Day.,History,medium,TRUE
The Cold War ended with Joseph Stalin's death.,History,easy,FALSE
The first televised presidential debate was between Jimmy Carter and Gerald Ford.,History,medium,FALSE
The Hundred Years' War was fought for more than a hundred years.,History,medium,TRUE
